Issue Type,Summary,Priority
Bug,None of the keyboard shortcuts work on the JWD page.,Low
Bug,"If I do not have browse project permissions, I can still tell the project exists.",Low
Bug,Admin shortcuts: GreenHopper Enabled Projects duplicates JIRA Default Navigator Columns,Low
Suggestion,It's not obvious how the Available Issue Types are sorted,
Bug,"Searching JIRA issues for special characters (in text fields) does not work, even if these characters have been properly escaped in a quick, simple or advanced (i.e. JQL) search.",Medium
Bug,The weight in workflow-function module is assumed as unique key in AddWorkflowTransition,Low
Suggestion,make user hovers work in gadgets,
Suggestion,Linking of version between projects,
Suggestion,Modification In Time Tracking Report,
Suggestion,SOAP API is missing target user directory parameter when using createUser function,
Bug,/secure/ConfigurePortalPages!default.jspa#view=popular - shows defined dashboards for not logged in users,High
Suggestion,"""JIRA 4.3 Upgrade Guide"" needs some clarification wrt using the osuser.xml file.",
Bug,You cannot delete / remove optional post functions which have been added to the 'initial transition' (i.e. 'Create' transition) of a JIRA workflow.,Low
Suggestion,Formatting of noformat tag,
Suggestion,Ability to sync jira data through REST API,
Bug,HTTP error codes are used inconsistently by components resource,Medium
Bug,Recently Created Chart with weekly period shows issues shifted forwards by one week,Low
Suggestion,Rename file attachment after file has been attached,
Suggestion,Permissions for filter subscriptions not fine grained enough,
Suggestion,Change in sub-task work calculations,
Suggestion,Make clear that REST expects URIs as optional parameters while removing versions and components,
Suggestion,Improve documentation for assigneeType in component resource,
Suggestion,Documentation page needs to be deleted,
Suggestion,IDEA : Variable replacement during clone,
Suggestion,Change Surname Givenname order,
Bug,Time Tracking Legacy Mode and Workflow Post Functions Error,Low
Suggestion,Have a default notification scheme selected when JIRA is first installed,
Bug,Mistaken escaping in the description,Low
Suggestion,"Allow Notification schemes to be assigned to projects all in one screen ""Issues > Notification schemes""",
Suggestion,make the vertical height of the Wiki Renderer noformat window configurable,
Suggestion,Make Velocity files scale better for plugins,
Suggestion,Link ids not returned,
Bug,Text Formatted Subscription Has Issue Key Concatenated To The Next Column,Low
Suggestion,Directed-Acyclic-Graph view of blocks links to create PERT chart,
Bug,Attachment Filenames With # Char Get Truncated,Low
Suggestion,Remove version from REST API URL,
Suggestion,"Add ""su"" functionality to REST API",
Suggestion,Jira 4.4 installer doc feedback,
Suggestion,New Gadget for SLA Commitment Period based on recent historical Cycle Time,
Suggestion,Allow voting per project,
Suggestion,"change user separator to something else than "",""",
Bug,The gadget directory code will wait forever on the gadget provider and this can hang the ability to add gadgets,Medium
Bug,Remove the Sybil code in AbstractIssueSelectAction that causes multiple reads to the database when we have already done it,Medium
Suggestion,Better rendering of custom fields in statistics gadgets,
Bug,Improve Dirty Forms handling.,Highest
Suggestion,Ability to Show Only Issues Without Subtasks,
Suggestion,Add Support for Mozilla Firefox 5 in JIRA,
Bug,"Double clicking on ""Add"" button while entering comment creates duplicate comments.",Low
Suggestion,Exclude non critical plugins from being included the failed initiation check,
Suggestion,Document the effects of jira.dev.mode,
Suggestion,The Hundred Tab Problem,
Suggestion,Bulk Edit Group Members: Please display user full name in Group Members box,
Suggestion,Receive only one email notification even if I am member of several notified categories,
Suggestion,Investigate on usage of StackShadowPages attribute in order to prevent SIGSEGV JVM crashes,
Suggestion,Make OfBize SequenceUtil less wasteful,
Suggestion,Make cog menus location aware,
Suggestion,Adjust scope of resolved issues in the roadmap gadget,
Suggestion,Confusing title on screen following Click of 'subscribe' link from Manage Filters ,
Bug,Advanced Query view list results excel export doesn't include custom fields,Low
Suggestion,"When a user is deleted in AD or Crowd, JIRA could keep the user in JIRA as an inactive user",
Suggestion,How to provide global permissions to a group in Jira,
Suggestion,screen for project workflow scheme migration buries the space admin in old -> new status mappings that are completely irrelevant,
Suggestion,Duration calculation,
Suggestion,"Remove duplicate JAR libraries from the ""jira-jars-tomcat-distribution-X.Y-tomcat-6x.zip"" (and ""jira-jars-tomcat-distribution-X.Y-tomcat-5x.zip"") files which are already included in the JIRA WAR distribution (or vice versa).",
Suggestion,As a JIRA user I need to view Totals row on results pages in IssueNavigator on specified columns (number types),
Suggestion,Jira Roadmap Panel - Ability to filter the versions by modules or components ,
Bug,jira-rest-plugin does not provide a manifest with the exported OSGi bundles,Low
Suggestion,"As a Plugin developer, I would like to create an internal custom field type that does not show up in the JIRA admin page",
Suggestion,"Search for phrases with 'ue', 'ae', 'oe' does not return respective german umlauts in result set",
Suggestion,JNDI database installation option,
Suggestion,labels should be case insensitive,
Bug,Long release names cause overlap in the chart gadget,Low
Suggestion,"Add a ""Select All"" button to the Retain column while changing issue types",
Suggestion,Provide a path to migrate user information from Crowd to JIRA during the upgrade to version with Crowd Embeded,
Suggestion,"Encapsulate, Reusable Post-Functions",
Suggestion,Users not active still show up in user picker,
Suggestion,Documentation error in Connecting JIRA to SQL server 2008,
Sub-task,Improve Filter Integrity Checking,Low
Suggestion,System administrators should be able to add packages to be logged at run time and without making changes on the file system or requiring a restart.,
Suggestion,System Dashboard should by default remain as a favourite after a new user creates a new dashboard,
Suggestion,Delete a user from a particular directory only,
Suggestion,Move jira.table.cols.subtasks out of jira-application.properties and into DB,
Suggestion,Allow searching for a priority number value range,
Suggestion,Federated Issue Linking,
Suggestion,OpenSymphony documentation ?!,
Suggestion,alert user when timed-out and/or disallow entry once timed out - updates lost!,
Suggestion,Create sub-task for an issue in another project,
Suggestion,Allow New Project Roles to be implemented globally,
Suggestion,Option to Sort Project Admin Page by Project Key/Project Lead,
Suggestion,configurable project panels,
Bug,JQL javascript parser approves syntax that server fails.,Low
Suggestion,Include new icons with default icons ,
Suggestion,Share Comment & Issue feature,
Bug,Issue Links column in Excel export isn't hyperlinked,Low
Suggestion,"Need to clear ""Could not find file at this location"" when after an existing file is selected",
Suggestion,Login screen with captcha should clear password field,
Suggestion,Possibility to mention a Jira user in a comment,
Suggestion,Support multiple email domains when creating issues/comments from email,
Suggestion,"When JIRA is caching users from LDAP, it should also store the base dn for the user and the refered server where the user can be authenticated.",
Suggestion,Performance improvement: Don't show Archived versions by default on the Jira Version management screen,
Suggestion,Allowing sharing a sub-task among parent tasks,
Suggestion,Functionality to filter Jira tickets by change-sets. ,
Suggestion,Use meta property indicating the active section/tab in admin pages to detect correct tab context in Studio,
Bug,Not able to view all groups in 'Viewing restrictions' for comment,Medium
Suggestion,Delete confirmation dialog should at least show the issue title,
Suggestion,Use NumericField and NumericRangeQuery for NumberRangeSearcher,
Suggestion,Remove hostile-attachments-confif.properties and move it into the main applications properties,
Suggestion,Custom Field appearing on search option per project,
Suggestion,Ability to set the Default Notification Scheme,
Suggestion,GUI in Jira for editing Velocity Email Notifications,
Suggestion,"""Contact Administrators"" footer link should not appear if ""jira.paths.set.allowed"" is set false",
Suggestion,Include Issue ID in REST API,
Suggestion,Make multi-selection consistent.,
Suggestion,Provide ability to hide or disable Assign To Me button,
Suggestion,REST API: allow admin user to operate as a different user,
Suggestion,Prevent users from putting HTML in their Full Name,
Suggestion,GET resource for workflows and transitions,
Suggestion,POST resource to add a comment,
Suggestion,Gravatar support,
Suggestion,"Expand ""WAS"" JQL operator to support fixVersion",
Suggestion,"JQL query to return certain issues and (only) THEIR children. (Make the argument of JQL operator ""IN"" able to be an evaluated expression.)",
Suggestion,"JIRA fires out duplicated filter subscription email to users if the users are a member of multiple groups, and the groups are subscribed to the filter",
Suggestion,Add to and modify tickets change history through SOAP,
Bug,The delegated LDAP directory that is created by the upgrade task is read-only.,Medium
Suggestion,It's difficult for end users to figure out which users and groups contribute to their license's active user count,
Suggestion,Activity Section details export option required in JIRA,
Suggestion,As a User I can search for all issues that have been cloned.,
Bug,Trackback Links does not work in JIRA 4.3.x with Confluence 3.5.x,Low
Suggestion,Streamline Move Issue Process,
Bug,WebworkService cache mapper is unbounded in size and keeps every URL it has ever seen.,Medium
Bug,The size of description fields should be able to be limited,High
Bug,DefaultUserPropertyManager used an unbounded map of PropertySets - this ends up being 40MB on JAC,Medium
Suggestion,"Lacking translation in ""History"" tag",
Suggestion,"When moving an issue, translation makes automatic matching fail",
Suggestion,issueHistory JQL function should return the issues in viewed order,
Suggestion,JIRA file upload now requires me to wait around.,
Bug,History search doesn't work for renamed status default field,Low
Suggestion,"When only one more workflow option is available, don't hide it under the ""Workflows"" drop-down list",
Suggestion,"Be able to create a customized release note, like a release note for a specific component.",
Suggestion,"Input for any Admin, Custom Fields UX changes",
Suggestion,Change the quick search JQL generation to just 'text',
Suggestion,Create a me() synonym function for currentUser(),
Suggestion,Pagination and Filtering of Project Browser index pages when JIRA has thousands of projects,
Suggestion,Assigning an issue while transitioning the workflow should fire a Issue Assigned event.,
Suggestion,"Make ""task progress"" and ""sub-task progress"" avaliable to display the amount of hours per person",
Suggestion,Show status of linked issue(s) in search (Issue Navigator ),
Suggestion,Drag and Drop Subtasks,
Suggestion,Improve on the way JIRA handles the Crowd Integration,
Bug,Fix multiple web resource transformations,Low
Bug,"Drop shadow looks wrong when adding links for the ""Configure Application Links"" accessed from the project",Low
Bug,"User Picker hides the ""Filter"" button from mehttps://jdog.atlassian.com/browse/JRADEV-5443",Low
Bug,Update User Preferences dialog ,Low
Bug,JIRA doesn't start up properly if database is being used by another process,Low
Bug,Attachment field is required but not indicated as such,Low
Bug,Entering an excessively long workflow status description produces a system error,Low
Bug,Attaching a file with '\' allowed - name displayed incorrectly on view issue,Low
Bug,"When entering an excessively long Field Configuration, a system error is produced",Low
Suggestion,Wrong fail message when setting an unauthorized service account to run the tomcat service (KB article),
Suggestion,Allow Configuration of the Number of Workflow Transition Buttons Through the UI,
Suggestion,"Sort order preference of Comments, Sources, etc is reset. Could be a user setting instead.",
Suggestion,JIRA should support the use of TLS - SNI ,
Suggestion,Create Crowd users importer to JIRA,
Suggestion,Most users won't be able to generate thread dumps on window with help of our doco ,
Suggestion,Abilty to generate thread dumps from  UI,
Bug,"Two identical issue created,while I clicked twice on ""create"" button. Disable or put grey color the button.",Low
Bug,The control of the calendar widget always highlight the value that has been currently set,Low
Suggestion,see linked stories when looking at an epic story in traditional jira view.,
Suggestion,Search for labels through quick search,
Suggestion,Do not show login input on permission vialotion with logged in user,
Bug,Prompted to login after server restart when Remember Me cookie is set,Low
Bug,Lack of correspondence in referential integrity,High
Bug,"""Issue Statistics"" gadget shows wrong total number of issues",Medium
Suggestion,Issue Type Scheme Migration - Display Progress Page,
Bug,"When generating reports, the Buttons Next and Cancel are not visible",Low
Suggestion,User should n't be shown the websudo dialog when creating project in JIRA for first time,
Bug,Cannot focus cancel link with keyboard in dialogs,Low
Suggestion,Add Support For Multiple Bug Import Id Custom Fields,
Suggestion,Clean up the bin directory for each platform,
Suggestion,The Screenshot For Restoring a Project from Backup Documentation Should Be Updated To Avoid Confusion,
Suggestion,jira.subtask.quickcreateform.fields line and field issuetype mandatory,
Suggestion,Post Function Which Set Resolution Should Use Names Instead of IDs,
Suggestion,Issue retrieval via REST should be consistent with retrieval via XML,
Suggestion,Improve semantic markup in User Browser table,
Suggestion,Clean up pages visited without the correct path,
Suggestion,"""Test Connection"" in the JIRA email setup process should give better feedback",
Suggestion,As a user I would like the option to show zero counts on statistics gadgets (Issue Statistics and Two Dimensional Filter Statistics),
Suggestion,Context-sensitive help,
Suggestion,stand alone catalina.sh should not pick up a global catalina setting,
Suggestion,Notifying assignee of linked issue when linked issue is resolved,
Suggestion,be able to collapse and expand the list of dashboards,
Suggestion,Filters Should Use Priorities ID's instead of Priorities Names,
Suggestion,Ability to retrieve LDAP properties for a JIRA user from external LDAP directory,
Suggestion,Ability to Turn On and Off User Creation Notification,
Suggestion,Moving bugs/features should still allow the Next and Previous links to work from the original list of search results and not require you to rerun the search,
Suggestion,"On the Project page, add ""Unresolved: By Issue Type"" to the ""Issues"" tab when there are more than one Issue Type defined in a project",
Suggestion,Force fancybox in gallery to use 'image' type,
Suggestion,Make UserService.FieldName public so that plugins using Peace Harmony can add field errors without hard-coding field names.,
Suggestion,Is there a way to change Linked Issue using Bulk Change operation?,
Suggestion,Provide better feedback when no whitelist host is matched when the usermanagement API is probed,
Suggestion,Notifiy administrators that index is corrupt in case JIRA has been restarted while the reindex is running,
Suggestion,A user can depend on issue auto transition to In Progress status when work is logged.,
Suggestion,Provide the option to remove the Comment field from the Logging Work window,
Suggestion,As a developer I can use the log work dialog box to measure time elapsed working on a task,
Suggestion,As a user I can 'repair fixversion of subtasks' after I changed the fixversion of a parent issue through the JIRA interface,
Suggestion,As a GH user I would like my parent label to be reflected in my sub-tasks once the parent is updated to ensure that they are in sync,
Suggestion,LDAP Delegated Authentication doesn't have any graphical user interface for user object filter,
Suggestion,Global Variables,
Suggestion,ccWatcher does not notify users when issue is created,
Suggestion,Cannot copy a list of user names in 'view project members' roles,
Bug,Filter tooltip shows the character code,Low
Suggestion,Not able to migrate user from 1 directory to another directory,
Suggestion,"Show information about a project's schemes to the user (permission scheme, notification scheme, workflow scheme, etc ...)",
Bug,Confluence Page Gadget - Login and Approve window not resizing to display the buttons on IE8,Low
Suggestion,Suppress the thousands separator in the excel export,
Suggestion,Allow users to select which notification scheme is the default,
Sub-task,Provide the ability to search for a range of versions within JQL,
Bug,JIRAs ThreadLocalDelegateFactory implementation doesn't clear the JiraAuthenticationContext request cache,Low
Suggestion,Printable view of filter results looks bad,
Suggestion,Provide a feature to control new line code used in JIRA's notification e-mail,
Suggestion,Avoid replicating entire LDAP/AD identity directories into JIRA local database,
Sub-task,JQL - Add wildcard functionality to versions,
Suggestion,Provide REST API access to historical remaining estimates.,
Suggestion,Support HTML5 video in wiki markup in JIRA,
Suggestion,JIRA's Profiling and Logging pages should allow you to add new logger configurations on the fly,
Suggestion,Changelog of UserCFType,
Suggestion,"Special support for ""Major Versions""",
Suggestion,Support load-balanced LDAP/AD servers with JIRA,
Suggestion,Permissions Issue,
Suggestion,Simpler user filtering for LDAP Directories,
Suggestion,'Shadow users report' on reordering directiories in User Directories,
Suggestion,Ability to Compare workratio Field with Custom Number Fields,
Suggestion,The labels fields should be additive when doing bulk updates,
Suggestion,Resolved date is not provided by JIRA REST API,
Bug,Select and Multi Select Fields Width Don't Fit to Options Text Length on Create Issue Screen,Medium
Suggestion,Make the reason a workflow transition is not available visible to the end user on the view issue page,
Suggestion,Linked status should be sorted on Workflow Steps screen,
Suggestion,Improve the behaviour of indexing after a workflow transition,
Suggestion,Long-lived auth token for the REST API,
Suggestion,Web URL in JIRA issue REST interface,
Suggestion,Provide a REST endpoint for jira.search.views.default.max,
Suggestion,Introductory text improvements in the User Browser,
Suggestion,Please document the difference between JIRA startup.sh and start-jira.sh,
Suggestion,Allow Shares of a Filter with single users,
Suggestion,"For multiple changes done to a ticket, multiple emails are sent for each individual change. There should be n minute time window to capture all changes and send one email.",
Suggestion,"Issue Create from mail Handler parameters - make possible to deactivate auto priority assignment when email priority is set to ""high""",
Suggestion,"Ability to disable Log Work entirely but leave Time Tracking on, for use with Tempo",
Bug,JIRA gadgets cannot be used in Confluence if both applications are installed on the same server & context path ,Low
Bug,"""Remaining"", ""Estimated"" & ""Logged"" don't work in JQL",Medium
Suggestion,Handle missing avatars in a user-friendly way,
Bug,"User can't see any failed notification under ""error queue"" if there is no mail server configured in JIRA",Low
Suggestion,"Components tooltip should show the description of the component, and not the component name itself",
Suggestion,JIRA UI issue link enhancement,
Suggestion,JIRA + Greenhopper REST  access,
Sub-task,Create JQL currentProject() function,
Suggestion,"Workflow Transition Behavior if a Condition, Validator, or Post Function Plug-in Is Missing",
Bug,Please export the packages required by Studio or provide a way to allow Studio configure extra export packages,Low
Suggestion,Add ability to search for issues that have no issue links (of a given type),
Suggestion,Adding users to project roles is confusing,
Suggestion,Add option to anonymize (manual) Data export,
Suggestion,JIRA can't connect to Oracle due to the 'Locale not recognized' error,
Suggestion,No way to refresh trusted apps current application keys,
Suggestion,"When viewing a filter, only the author has 'subscribe' option on the left",
Suggestion,Allow the prefix for cloned issues to be specified from the admin screen (without changing application.properties),
Suggestion,Better error message for invalid gadgets,
Suggestion,"Ability to add custom revision to ""Source"" tab of JIRA issue even if it was omitted from commit message",
Suggestion,Ability to add labels and line breaks to screens (both view and edit),
Suggestion,Suggestions and Autocomplete for Labels is missing in 'Simple Search',
Suggestion,Created vs Resolved Chart in JIRA Gadget needs a means to reincorporate the offset that is nulled at graph t=0. This will ensure that the 'unresolved issues' subplot is accurate.,
Suggestion,Ability to test draft of workflow before publishing,
Suggestion,Documentation for SSL Configurations,
Suggestion,Issue update not successful - focus,
Suggestion,"Make ""Sub-task Progress"" available to show either in percentage or hours",
Suggestion,"Enhance slow queries log or create a new ""large resultset"" log to log queries that return above a threshold number of results",
Suggestion,In issues list make batch actions available,
Suggestion,Add ability to configure a custom renderer in the Activity fields,
Suggestion,Resource Planning,
Suggestion,Easy User Export,
Suggestion,Create migration process for local users to have data migrated over to LDAP account,
Bug,Email notification contains the message '_This action was initiated by null (null)_' when creating a user via SOAP,Low
Suggestion,Modify TrustedApplicationsManager so that it does not assume a user is configuring trusted apps,
Suggestion,Dynamic-width select lists gone after JIRA 3.13,
Suggestion,"Tick ""Comments"" in search by default",
Bug,Homophone issue in API documentation,Low
Suggestion,Allow searching of all comment fields in an issue as one entity ,
Suggestion,Hide Field ID values in email notifications,
Bug,Disable ehcache and quartz phone-home timers. ,Low
Suggestion,Provide an option to preview an issue before creating it,
Suggestion,Change single button keyboard shortcuts so that they dont include operating system shortcuts,
Suggestion,Alternative container providers implementation,
Suggestion,Created vs Resolved chart : detailed view missing,
Suggestion,Can't Query SVN Commits,
Suggestion,Impossible to add an avatar in the library,
Suggestion,"webwork1 ""magic"" for i18n is broken for v2 plugins",
Suggestion,Filter Management Should be Paginated,
Bug,Road Map Gadget displays 'No Issues' for each version of a project even though there are issues for each of them,Low
Suggestion,missing 'filter operations' also in the simple search mode,
Suggestion,Ability to perform a bulk random password reset for users per project,
Suggestion,How to change comment-box ?,
Bug,Frother control auto complete does handle text with ( ) in it,Low
Bug,Workflow Transition Dialog not marked as dirty,Low
Suggestion,Update Issue Field postfunction should be able to change version values in an issue,
Suggestion,Labels suggestion should be scoped by project,
Suggestion,"Closing an issue where a non-existing user is referenced, should not fail with stacktrace",
Suggestion,"Limit ""Assign To"" lists to real project users",
Suggestion,Show Description on the All Tab in the Activity Section of an Issue When Linking Issues,
Suggestion,Allow selection of individual relationships as columns in issue navigator,
Suggestion,Bad error message when JIRA cannot reach CROWD,
Suggestion,Ensure that the JIRA Docs explain how to set READ-COMMITTED isolation level for SQL Server,
Suggestion,JIRA 4.3 Translations,
Suggestion,UI for editing release notes template,
Suggestion,No PHP code formatter in Jira,
Suggestion,Consider using repeatable-read as default transaction isolation level (tighter acid compliance),
Suggestion,Advance Searching Should Be Case Insensitive When Suggesting Options For Labels Fields,
Suggestion,Provide ability to change colour from 'Look and feel ',
Suggestion,"Add ""bee"" emoticon",
Suggestion,Support pre-populating issue fields on CreateIssue.jspa,
Suggestion,JIRA should not allow spaces at the end of a custom field option,
Suggestion,Support multi-label labels using Jelly Script,
Suggestion,Filter for comments/attachments added by a specified user,
Suggestion,Update IssueImpl.toString() to be less confusing,
Suggestion,Time Tracking Field Does Not Accept Decimal Value That Is Not Multiple Of 5,
Suggestion,Workload Pie Chart,
Suggestion,Drag-n-Drop for configuring columns for issue navigator,
Suggestion,Crowd integration should automatically modify Forgot/Change Password links,
Suggestion,Provide Support for the JIRA Wallboards Plugin,
Suggestion,Needs ability to contribute selectors to dirty filter form exclusion list,
Suggestion,Improve Notification Scheme so previous and current reporter is notified.,
Suggestion,Strip signature from incoming email,
Suggestion,Request to add the colon punctuation mark (:) to the list of special characters supported for text searching,
Suggestion,Notify specific people on comment,
Suggestion,Localise durations for time estimates,
Sub-task,"JQL query -- 'dates' clause similar to 'text' clause - e.g., search for date matches from any of many date fields",
Suggestion,Deleting or creating a dashboard redirects you to the login page if you are not part of the 'jira-users' group.,
Suggestion,Recycle Bin for Jira Projects,
Bug,"Issues can have a newline in the summary, which results in malformed email notifications",Low
Bug,worklog.getId() is not evaluated when writing urls in the worklog email templates,Low
Sub-task,Add Project Category in the simple (or JQL) searchable criteria in the Project selection box,
Suggestion,Option to enable or disable the image attachments for printing,
Suggestion,Export PortletConfigurationStore to plugins,
Suggestion,Jira should only re-index once during an upgrade,
Bug,Disable all user filter subscriptions when user account is de-activated,Low
Suggestion,Internationalize JQL,
Suggestion,Command line java method to do a backup and restore of the data,
Bug,JIRA 4.2 and 4.2.2 detecting IE8 as IE 6,Low
Suggestion,Improve screenshot applet error handling while submitting the screenshot,
Suggestion,Paging for projects gadget,
Suggestion,Adding an ID to the div tag to customControlHeader (Version 4.2.2),
Suggestion,"config.sh tool strips formatting and whitespace from tags, makes it much harder to read afterwards",
Suggestion,Allow for multiple url prefixes and suffixes in HelpUtil,
Suggestion,"Validators should be able to have ""OR"" logic just like Conditions",
Suggestion,Localisation of FilterSubscription page not possible,
Bug,Attachment dialog needs some chrome love,Low
Suggestion,Component link title unnecessarily long,
Suggestion,Lock account after multiple login failure,
Suggestion,More graceful handling of missing attachment files,
Bug,Cannot render image with '&' in the name using !image.png! tag,Low
Bug,Multiple Log forging vulnerabilities ,Medium
Bug,Jira user name not showing up in Mac Outlook 2011 email From: field,Low
Suggestion,Add type ahead user picker to Group Browser Management,
Suggestion,Default Comment Security Level broken with JIRA 4.2,
Suggestion,More useful error messages when a workflow plugin is missing,
Suggestion,Set Java environment variables from the UI,
Suggestion,Address work directory JSP compilation problems,
Suggestion,"When Restoring Backup, ""Choose Index/Attachment Path"" Query may not Get to Client because of Proxy Timeout",
Suggestion,Convert username to lower case at login for JIRA 4.2.1,
Suggestion,"tabbed, Studio UI ",
Suggestion,"""Obsolete"" Users Remain Listed and Selectable in User Picker",
Suggestion,JIRA should automatically scroll down the page when the Issue's Action icon is clicked to ensure the pop-up is fully shown,
Suggestion,Prototype Feedback - JIRA project configuration interface,
Suggestion,"English grammar issue: projectsLeadBy, componentsLeadBy",
